hla1,hla2,sim
DRA_0101__DRB1_0101,DRA_0101__DRB1_1406,0.179
C__03_04,C__17_01,0.593
A__23_01,C__14_02,0.578
A__29_01,B__08_01,0.355
DRA_0101__DRB1_1001,DRA_0101__DRB1_1201,0.341
DQA1_0201__DQB1_0302,DQA1_0301__DQB1_0301,0.335
DRA_0101__DRB1_0403,DRA_0101__DRB1_1303,0.341
DRA_0101__DRB1_0408,DRA_0101__DRB1_1501,0.316
B__35_01,C__17_01,0.588
DRA_0101__DRB1_0301,DRA_0101__DRB1_0803,0.21
DRA_0101__DRB1_1202,DRA_0101__DRB1_1502,0.214
DQA1_0101__DQB1_0201,DQA1_0103__DQB1_0603,0.379
DQA1_0103__DQB1_0603,DQA1_0501__DQB1_0201,0.49
A__29_01,B__15_01,0.417
A__34_01,B__56_01,0.397
B__56_01,C__12_03,0.449
A__24_02,C__12_02,0.643
DRA_0101__DRB1_0301,DRA_0101__DRB1_1103,0.268
DQA1_0102__DQB1_0604,DQA1_0503__DQB1_0301,0.458
DQA1_0103__DQB1_0603,DQA1_0201__DQB1_0302,0.329
A__01_01,B__14_02,0.335
DQA1_0103__DQB1_0601,DQA1_0103__DQB1_0603,0.161
DRA_0101__DRB1_0408,DRA_0101__DRB1_1502,0.319
DRA_0101__DRB1_0701,DRA_0101__DRB1_1407,0.382
DRA_0101__DRB1_0803,DRA_0101__DRB1_1502,0.232
DRA_0101__DRB1_0801,DRA_0101__DRB1_1201,0.11
A__01_01,C__06_02,0.465
DQA1_0103__DQB1_0601,DQA1_0401__DQB1_0402,0.445
DRA_0101__DRB1_0408,DRA_0101__DRB1_1601,0.316
A__02_06,B__15_01,0.484
DQA1_0102__DQB1_0604,DQA1_0501__DQB1_0301,0.456
DRA_0101__DRB1_0701,DRA_0101__DRB1_1001,0.429
DQA1_0102__DQB1_0609,DQA1_0503__DQB1_0301,0.463
DQA1_0101__DQB1_0503,DQA1_0501__DQB1_0501,0.286
DQA1_0302__DQB1_0301,DQA1_0503__DQB1_0301,0.352
B__27_02,C__05_01,0.795
DRA_0101__DRB1_0102,DRA_0101__DRB1_1301,0.249
DQA1_0101__DQB1_0201,DQA1_0102__DQB1_0302,0.219
DQA1_0301__DQB1_0302,DQA1_0302__DQB1_0301,0.232
DRA_0101__DRB1_1001,DRA_0101__DRB1_1301,0.387
B__15_08,B__27_05,0.429
DQA1_0101__DQB1_0501,DQA1_0201__DQB1_0303,0.361
DRA_0101__DRB1_0301,DRA_0101__DRB1_1202,0.184
B__48_01,C__12_03,0.623
A__68_01,B__15_16,0.447
DRA_0101__DRB1_0901,DRA_0101__DRB1_1104,0.592
A__23_01,B__27_05,0.422
DRA_0101__DRB1_1501,DRA_0101__DRB1_1601,0.089
DRA_0101__DRB1_0103,DRA_0101__DRB1_1601,0.322
DQA1_0102__DQB1_0609,DQA1_0103__DQB1_0603,0.241
DRA_0101__DRB1_0102,DRA_0101__DRB1_1001,0.279
DQA1_0102__DQB1_0609,DQA1_0302__DQB1_0301,0.488
DQA1_0201__DQB1_0302,DQA1_0501__DQB1_0301,0.412
A__68_02,C__17_01,0.651
DRA_0101__DRB1_1201,DRA_0101__DRB1_1402,0.148
DRA_0101__DRB1_0401,DRA_0101__DRB1_1407,0.313
DRA_0101__DRB1_0802,DRA_0101__DRB1_0901,0.557
A__74_01,C__04_01,0.65
DQA1_0301__DQB1_0302,DQA1_0505__DQB1_0301,0.415
DRA_0101__DRB1_0901,DRA_0101__DRB1_1202,0.527
DRA_0101__DRB1_1001,DRA_0101__DRB1_1103,0.427
B__44_02,C__08_02,0.632
DQA1_0101__DQB1_0602,DQA1_0302__DQB1_0301,0.449
DQA1_0201__DQB1_0303,DQA1_0302__DQB1_0301,0.322
DRA_0101__DRB1_0701,DRA_0101__DRB1_0801,0.332
DQA1_0201__DQB1_0303,DQA1_0501__DQB1_0301,0.402
DRA_0101__DRB1_1202,DRA_0101__DRB1_1407,0.237
DQA1_0101__DQB1_0503,DQA1_0301__DQB1_0302,0.382
DQA1_0101__DQB1_0501,DQA1_0103__DQB1_0603,0.205
DQA1_0101__DQB1_0602,DQA1_0102__DQB1_0602,0.0
DQA1_0101__DQB1_0503,DQA1_0601__DQB1_0301,0.371
DQA1_0101__DQB1_0503,DQA1_0102__DQB1_0602,0.155
DRA_0101__DRB1_1201,DRA_0101__DRB1_1202,0.045
DQA1_0101__DQB1_0502,DQA1_0301__DQB1_0303,0.427
DQA1_0102__DQB1_0609,DQA1_0501__DQB1_0501,0.335
A__23_01,B__40_01,0.5
DRA_0101__DRB1_0102,DRA_0101__DRB1_0411,0.245
DQA1_0102__DQB1_0502,DQA1_0501__DQB1_0501,0.276
DQA1_0501__DQB1_0201,DQA1_0503__DQB1_0301,0.257
DRA_0101__DRB1_0701,DRA_0101__DRB1_1406,0.338
A__34_01,B__13_02,0.573
B__15_01,B__27_06,0.366
A__26_01,C__07_04,0.523
DRA_0101__DRB1_1202,DRA_0101__DRB1_1301,0.126
DRA_0101__DRB1_0301,DRA_0101__DRB1_0411,0.307
DRA_0101__DRB1_0101,DRA_0101__DRB1_0102,0.0
DRA_0101__DRB1_0404,DRA_0101__DRB1_0802,0.358
DQA1_0102__DQB1_0502,DQA1_0301__DQB1_0502,0.371
DRA_0101__DRB1_0411,DRA_0101__DRB1_1502,0.346
DQA1_0301__DQB1_0301,DQA1_0301__DQB1_0502,0.297
DQA1_0301__DQB1_0301,DQA1_0501__DQB1_0201,0.417
DRA_0101__DRB1_0401,DRA_0101__DRB1_0801,0.307
DRA_0101__DRB1_1301,DRA_0101__DRB1_1401,0.31
DRA_0101__DRB1_1001,DRA_0101__DRB1_1407,0.232
DRA_0101__DRB1_0408,DRA_0101__DRB1_1301,0.377
DQA1_0401__DQB1_0402,DQA1_0501__DQB1_0202,0.618
DRA_0101__DRB1_0301,DRA_0101__DRB1_0801,0.205
DQA1_0101__DQB1_0502,DQA1_0201__DQB1_0302,0.329
DRA_0101__DRB1_0103,DRA_0101__DRB1_1303,0.237
DQA1_0101__DQB1_0602,DQA1_0301__DQB1_0301,0.454
DQA1_0103__DQB1_0601,DQA1_0501__DQB1_0201,0.484
DQA1_0101__DQB1_0602,DQA1_0102__DQB1_0302,0.272
DQA1_0101__DQB1_0503,DQA1_0501__DQB1_0201,0.422
DRA_0101__DRB1_0408,DRA_0101__DRB1_1401,0.307
DRA_0101__DRB1_0403,DRA_0101__DRB1_0411,0.077
DQA1_0102__DQB1_0502,DQA1_0501__DQB1_0201,0.429
DQA1_0501__DQB1_0202,DQA1_0505__DQB1_0301,0.307
DQA1_0201__DQB1_0302,DQA1_0301__DQB1_0302,0.283
DRA_0101__DRB1_0802,DRA_0101__DRB1_1501,0.219
DQA1_0102__DQB1_0604,DQA1_0201__DQB1_0303,0.395
DQA1_0301__DQB1_0301,DQA1_0505__DQB1_0301,0.346
DQA1_0101__DQB1_0502,DQA1_0102__DQB1_0604,0.155
DQA1_0102__DQB1_0604,DQA1_0103__DQB1_0601,0.241
DRA_0101__DRB1_0101,DRA_0101__DRB1_0408,0.21
DRA_0101__DRB1_0403,DRA_0101__DRB1_1201,0.344
DRA_0101__DRB1_1103,DRA_0101__DRB1_1406,0.224
DRA_0101__DRB1_1104,DRA_0101__DRB1_1201,0.19
DRA_0101__DRB1_0901,DRA_0101__DRB1_1401,0.405
DRA_0101__DRB1_0103,DRA_0101__DRB1_0404,0.379
DRA_0101__DRB1_0407,DRA_0101__DRB1_1502,0.316
DRA_0101__DRB1_0407,DRA_0101__DRB1_0701,0.219
DQA1_0102__DQB1_0302,DQA1_0201__DQB1_0303,0.276
DRA_0101__DRB1_0408,DRA_0101__DRB1_1406,0.303
DQA1_0501__DQB1_0201,DQA1_0501__DQB1_0202,0.148
DRA_0101__DRB1_1104,DRA_0101__DRB1_1407,0.319
DQA1_0101__DQB1_0503,DQA1_0102__DQB1_0302,0.2
DRA_0101__DRB1_0901,DRA_0101__DRB1_1501,0.5
DQA1_0102__DQB1_0502,DQA1_0501__DQB1_0202,0.463
DQA1_0501__DQB1_0201,DQA1_0501__DQB1_0501,0.341
DRA_0101__DRB1_0404,DRA_0101__DRB1_1501,0.313
DRA_0101__DRB1_0701,DRA_0101__DRB1_1101,0.361
DRA_0101__DRB1_1301,DRA_0101__DRB1_1601,0.249
DQA1_0501__DQB1_0202,DQA1_0503__DQB1_0301,0.307
DQA1_0102__DQB1_0609,DQA1_0505__DQB1_0301,0.458
DQA1_0501__DQB1_0501,DQA1_0601__DQB1_0301,0.434
DQA1_0102__DQB1_0602,DQA1_0601__DQB1_0301,0.395
DRA_0101__DRB1_1201,DRA_0101__DRB1_1301,0.126
DQA1_0301__DQB1_0303,DQA1_0501__DQB1_0301,0.41
